no,site_name,url
1,哈客網路學院,https://elearning.hakka.gov.tw/
2,客家節慶,https://festival.hakka.gov.tw/
3,數位臺灣客家庄,https://archives.hakka.gov.tw/
4,臺灣客語詞彙資料庫,https://wiki.hakka.gov.tw/
5,客家桐花祭,https://tung.hakka.gov.tw
6,客語薪傳師,https://master.hakka.gov.tw
7,客家文化生活環境營造計畫,https://life.hakka.gov.tw/
8,全國客語生活學校,https://school.hakka.gov.tw/
9,台灣客家等路大街,https://www.hakkamall.org.tw/
10,客家影音網路平台,https://broadcasting.hakka.gov.tw/
11,好客小學堂,https://child.hakka.gov.tw/v2
12,全球資訊網,https://www.hakka.gov.tw/
13,海外客家網,https://global.hakka.gov.tw/
14,客家文化發展中心官網,https://thcdc.hakka.gov.tw/
15,客家傳統建築影像數位典藏網,https://hakkaarchitecture.thcdc.hakka.gov.tw/
16,客響-客家文化資產數位網,https://hakkaimpact.thcdc.hakka.gov.tw/
17,客家文化發展中心典藏管理系統,http://digimuseum.thcdc.hakka.gov.tw/
18,客家委員會客家文化發展中心圖書資料中心館藏查詢系統,https://webpaclib.thcdc.hakka.gov.tw/
19,客家委員會客家文化發展中心圖書資料中心電子資源整合查詢系統,https://primo.thcdc.hakka.gov.tw/primo_library/libweb/action/search.do
