上級機關,機關名稱,社群平臺類型,社群名稱,社群連結網址
內政部,中央警察大學,Facebook,誠園生活,https://www.facebook.com/moicpu
內政部,戶政司 ,YouTube,risgov,https://www.youtube.com/user/risgov/
內政部,刑事警察局,YouTube,內政部警政署刑事警察局 CIB,https://www.youtube.com/channel/UCS9Krr7eb0pEa1wS8EVIFwA/
內政部,刑事警察局,Facebook,CIB局長室,https://www.facebook.com/cibcom001/
內政部,地政司,Facebook,內政部地政司,https://www.facebook.com/內政部地政司-148236741926852/
內政部,地政司,YouTube,wwwlandmoigovtw,https://www.youtube.com/channel/UC7x4Lx9tNsDlKi8ecWJ5kDA
內政部,役政署,YouTube,役政署,https://www.youtube.com/channel/UCi-2U8x9aUKkat1XiQvIjOg/
內政部,役政署,Facebook,服役大小事,https://www.facebook.com/服役大小事-371320969727489/
內政部,役政署,Flickr,內政部役政署,http://www.flickr.com/photos/ncaweb/
內政部,空中勤務總隊 ,YouTube,內政部空中勤務總隊,https://www.youtube.com/channel/UCPputYBu6-QGmSZlgFcqFow/
內政部,空中勤務總隊 ,Facebook,空中勤務 奇兵天降,https://www.facebook.com/空中勤務-奇兵天降-496677267083668/
內政部,消防署,Facebook,消防署,https://www.facebook.com/NFA999/?fref=ts
內政部,國土測繪中心,YouTube,內政部國土測繪中心,https://www.youtube.com/channel/UCtLEnZ8hvrbwI-NxlGNVnoA/
內政部,國土測繪中心,Flickr,內政部國土測繪中心,https://www.flickr.com/photos/79790283@N06/
內政部,移民署 ,YouTube,移民署,https://www.youtube.com/user/taiwanimmigration/
內政部,移民署 ,Facebook,我愛自動通關,https://www.facebook.com/egate.tw
內政部,移民署 ,Facebook,新移民的娘家,https://www.facebook.com/hometaiwan
內政部,移民署 ,Facebook,移民署粉絲團 - NIA ,https://www.facebook.com/NIAinTW/
內政部,營建署,YouTube,內政部營建署,http://www.youtube.com/user/cpami2011/
